city,lat,lon,year,month,avg_rainfall
Guwahati,26.14,91.73,2013,9,5.171
Guwahati,26.14,91.73,2013,10,6.867
Guwahati,26.14,91.73,2013,11,0.0
Guwahati,26.14,91.73,2013,12,0.008
Guwahati,26.14,91.73,2014,1,0.056
Guwahati,26.14,91.73,2014,2,1.063
Guwahati,26.14,91.73,2014,3,0.54
Guwahati,26.14,91.73,2014,4,1.142
Guwahati,26.14,91.73,2014,5,7.845
Guwahati,26.14,91.73,2014,6,12.959
Guwahati,26.14,91.73,2014,7,5.685
Guwahati,26.14,91.73,2014,8,8.768
Guwahati,26.14,91.73,2014,9,13.389
Guwahati,26.14,91.73,2014,10,1.916
Guwahati,26.14,91.73,2014,11,0.008
Guwahati,26.14,91.73,2014,12,0.001
Guwahati,26.14,91.73,2015,1,0.293
Guwahati,26.14,91.73,2015,2,0.739
Guwahati,26.14,91.73,2015,3,0.887
Guwahati,26.14,91.73,2015,4,8.015
Guwahati,26.14,91.73,2015,5,10.968
Guwahati,26.14,91.73,2015,6,11.463
Guwahati,26.14,91.73,2015,7,9.486
Guwahati,26.14,91.73,2015,8,12.859
Guwahati,26.14,91.73,2015,9,9.843
Guwahati,26.14,91.73,2015,10,2.113
Guwahati,26.14,91.73,2015,11,0.254
Guwahati,26.14,91.73,2015,12,0.718
Guwahati,26.14,91.73,2016,1,0.656
Guwahati,26.14,91.73,2016,2,0.27
Guwahati,26.14,91.73,2016,3,2.28
Guwahati,26.14,91.73,2016,4,14.264
Guwahati,26.14,91.73,2016,5,11.922
Guwahati,26.14,91.73,2016,6,11.87
Guwahati,26.14,91.73,2016,7,18.564
Guwahati,26.14,91.73,2016,8,3.98
Guwahati,26.14,91.73,2016,9,5.871
Guwahati,26.14,91.73,2016,10,3.648
Guwahati,26.14,91.73,2016,11,0.276
Guwahati,26.14,91.73,2016,12,0.093
Imphal,24.82,93.94,2007,1,0.676
Imphal,24.82,93.94,2007,2,3.203
Imphal,24.82,93.94,2007,3,0.385
Imphal,24.82,93.94,2007,4,6.132
Imphal,24.82,93.94,2007,5,7.063
Imphal,24.82,93.94,2007,6,7.088
Imphal,24.82,93.94,2007,7,5.205
Imphal,24.82,93.94,2007,8,3.464
Imphal,24.82,93.94,2007,9,5.586
Imphal,24.82,93.94,2007,10,3.734
Imphal,24.82,93.94,2007,11,1.923
Imphal,24.82,93.94,2007,12,0.096
Imphal,24.82,93.94,2008,1,0.667
Imphal,24.82,93.94,2008,2,0.61
Imphal,24.82,93.94,2008,3,2.235
Imphal,24.82,93.94,2008,4,1.281
Imphal,24.82,93.94,2008,5,4.622
Imphal,24.82,93.94,2008,6,6.249
Imphal,24.82,93.94,2008,7,8.374
Imphal,24.82,93.94,2008,8,8.666
Imphal,24.82,93.94,2008,9,3.238
Imphal,24.82,93.94,2008,10,3.827
Imphal,24.82,93.94,2008,11,0.078
Imphal,24.82,93.94,2008,12,0.056
Imphal,24.82,93.94,2009,1,0.032
Imphal,24.82,93.94,2009,2,0.679
Imphal,24.82,93.94,2009,3,1.715
Imphal,24.82,93.94,2009,4,2.695
Imphal,24.82,93.94,2009,5,4.511
Imphal,24.82,93.94,2009,6,4.641
Imphal,24.82,93.94,2009,7,6.398
Imphal,24.82,93.94,2009,8,7.68
Imphal,24.82,93.94,2009,9,4.118
Imphal,24.82,93.94,2009,10,4.85
Imphal,24.82,93.94,2009,11,0.399
Imphal,24.82,93.94,2009,12,0.415
Imphal,24.82,93.94,2010,1,0.18
Imphal,24.82,93.94,2010,2,0.186
Imphal,24.82,93.94,2010,3,4.307
Imphal,24.82,93.94,2010,4,8.188
Imphal,24.82,93.94,2010,5,6.739
Imphal,24.82,93.94,2010,6,10.687
Imphal,24.82,93.94,2010,7,9.76
Imphal,24.82,93.94,2010,8,4.347
Imphal,24.82,93.94,2010,9,6.467
Imphal,24.82,93.94,2010,10,5.701
Imphal,24.82,93.94,2010,11,0.617
Imphal,24.82,93.94,2010,12,1.262
Imphal,24.82,93.94,2011,1,0.631
Imphal,24.82,93.94,2011,2,0.162
Imphal,24.82,93.94,2011,3,2.246
Imphal,24.82,93.94,2011,4,2.178
Imphal,24.82,93.94,2011,5,9.081
Imphal,24.82,93.94,2011,6,8.932
Imphal,24.82,93.94,2011,7,9.452
Imphal,24.82,93.94,2011,8,10.477
Imphal,24.82,93.94,2011,9,4.975
Imphal,24.82,93.94,2011,10,0.796
Imphal,24.82,93.94,2011,11,0.375
Imphal,24.82,93.94,2011,12,0.031
Imphal,24.82,93.94,2012,1,0.485
Imphal,24.82,93.94,2012,2,0.189
Imphal,24.82,93.94,2012,3,1.512
Imphal,24.82,93.94,2012,4,6.967
Imphal,24.82,93.94,2012,5,3.157
Imphal,24.82,93.94,2012,6,8.632
Imphal,24.82,93.94,2012,7,6.677
Imphal,24.82,93.94,2012,8,4.178
Imphal,24.82,93.94,2012,9,7.049
Imphal,24.82,93.94,2012,10,4.155
Imphal,24.82,93.94,2012,11,1.878
Imphal,24.82,93.94,2012,12,0.427
Imphal,24.82,93.94,2013,1,0.007
Imphal,24.82,93.94,2013,2,0.133
Imphal,24.82,93.94,2013,3,0.978
Imphal,24.82,93.94,2013,4,3.42
Imphal,24.82,93.94,2013,5,11.091
Imphal,24.82,93.94,2013,6,5.673
Imphal,24.82,93.94,2013,7,11.306
Imphal,24.82,93.94,2013,8,9.71
Imphal,24.82,93.94,2013,9,8.148
Imphal,24.82,93.94,2013,10,3.615
Imphal,24.82,93.94,2013,11,0.003
Imphal,24.82,93.94,2013,12,0.067
Imphal,24.82,93.94,2014,1,0.005
Imphal,24.82,93.94,2014,2,0.826
Imphal,24.82,93.94,2014,3,1.097
Imphal,24.82,93.94,2014,4,1.308
Imphal,24.82,93.94,2014,5,7.532
Imphal,24.82,93.94,2014,6,10.715
Imphal,24.82,93.94,2014,7,3.499
Imphal,24.82,93.94,2014,8,8.404
Imphal,24.82,93.94,2014,9,5.564
Imphal,24.82,93.94,2014,10,1.501
Imphal,24.82,93.94,2014,11,0.032
Imphal,24.82,93.94,2014,12,0.034
Imphal,24.82,93.94,2015,1,1.037
Imphal,24.82,93.94,2015,2,0.426
Imphal,24.82,93.94,2015,3,0.682
Imphal,24.82,93.94,2015,4,7.228
Imphal,24.82,93.94,2015,5,3.447
Imphal,24.82,93.94,2015,6,8.289
Imphal,24.82,93.94,2015,7,12.858
Imphal,24.82,93.94,2015,8,8.21
Imphal,24.82,93.94,2015,9,6.209
Imphal,24.82,93.94,2015,10,3.434
Imphal,24.82,93.94,2015,11,0.431
Imphal,24.82,93.94,2015,12,0.278
Imphal,24.82,93.94,2016,1,0.283
Imphal,24.82,93.94,2016,2,0.969
Imphal,24.82,93.94,2016,3,1.698
Imphal,24.82,93.94,2016,4,7.542
Imphal,24.82,93.94,2016,5,10.065
Imphal,24.82,93.94,2016,6,6.276
Imphal,24.82,93.94,2016,7,9.359
Imphal,24.82,93.94,2016,8,4.393
Imphal,24.82,93.94,2016,9,6.64
Imphal,24.82,93.94,2016,10,3.013
Imphal,24.82,93.94,2016,11,2.794
Imphal,24.82,93.94,2016,12,0.164
Itanagar,27.08,93.6,2007,1,0.24
Itanagar,27.08,93.6,2007,2,2.712
Itanagar,27.08,93.6,2007,3,1.038
Itanagar,27.08,93.6,2007,4,7.658
Itanagar,27.08,93.6,2007,5,7.832
Itanagar,27.08,93.6,2007,6,16.785
Itanagar,27.08,93.6,2007,7,17.234
Itanagar,27.08,93.6,2007,8,10.543
Itanagar,27.08,93.6,2007,9,11.856
Itanagar,27.08,93.6,2007,10,2.576
Itanagar,27.08,93.6,2007,11,1.91
